id,title,price,area_in_words,address,created_at,updated_at,price_in_words,external_id,district,ward_name,area,district_id,ward_id,agent_id,lat,long,prop_type,address1
5269,"Lô biệt thự khu Tên Lửa giá chỉ 15,6 tỷ",15600000000,240 m2,"Đường số 57A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:32.675096,2022-07-16 08:51:32.10915,15 tỷ 600 triệu,id21398585,Quận Bình Tân,Phường Bình Trị Đông B,240.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5205,"Bán đất MT đường Số 21A, P. Bình Trị Đông B, 4 x 22.5m, giá 6,9 tỷ. kh",6900000000,90 m2,,2022-07-04 16:43:32.224333,2022-07-07 09:57:25.620174,6 tỷ 900 triệu,id21022308,Quận Bình Tân,Phường Bình Trị Đông B,90.0,16,153,123,,,dat tho cu,
5270,"Bán đất biệt thự Góc 2 MT đường Số 31, P. Bình Trị Đông B, 8 x 20.5m,",15500000000,164 m2,"Đường số 31, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:32.689962,2022-07-16 08:51:34.135807,15 tỷ 500 triệu,id21398043,Quận Bình Tân,Phường Bình Trị Đông B,164.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5283,"Bán nền biệt thự Góc 2 MT đường Số 3A, P. Bình Trị Đông B, 10 x 20m, g",20000000000,200 m2,"Đường số 3A, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:32.782053,2022-07-16 17:49:16.105068,20 tỷ,id21398471,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5364,"MTKD đường số 1 phường BTĐ B Bình Tân 13,3 tỷ cần bán gấp",13300000000,100 m2,"Đường số 1, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:33.338302,2022-07-15 17:41:48.354189,13 tỷ 300 triệu,id21334504,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,106.609161,10.742732,dat tho cu,
5431,"Bán đất biệt thự MT đường Số 32A, PBình Trị Đông B, 10 x 20m",13600000000,200 m2,,2022-07-04 16:43:33.781142,2022-07-07 09:57:27.038303,13 tỷ 600 triệu,id20754910,Quận Bình Tân,Phường Bình Trị Đông B,200.0,16,153,123,,,dat tho cu,
5463,"Bán đất MT đường Số 13C, P. Bình Trị Đông B, 5 x 20m, giá 8.4 tỷ. khu",8400000000,100 m2,,2022-07-04 16:43:34.171886,2022-07-07 09:57:27.140759,8 tỷ 400 triệu,id21143064,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,,,dat tho cu,
5465,"Bán Đất MT đường Số 46A, Tân Tạo, Bình Tân, 5 x 18m, Giá 5.8 Tỷ",5800000000,90 m2,"Đường số 46A, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",2022-07-04 16:43:34.183413,2022-07-16 17:50:20.954401,5 tỷ 800 triệu,id20480424,Quận Bình Tân,Phường Bình Trị Đông B,90.0,16,153,123,106.599207,10.752845,dat tho cu,"5 Đường số 55, Tân Tạo, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
5488,"Bán Đất MT đường Số 13, Bình Trị Đông B, Bình Tân, 5 x 20m, Giá 9.6 Tỷ",9600000000,100 m2,,2022-07-04 16:43:34.27624,2022-07-07 09:57:27.49381,9 tỷ 600 triệu,id20765384,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,,,dat tho cu,
4642,"Bán Gấp 2 Lô Liền Kề KDC Lê Thành , 200 M2, 4TY/Lô, SHR, ĐƯỜNG 16m2",4000000000,100 m2,"Trần Văn Giàu, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:27.878497,2022-07-16 08:54:54.390753,4 tỷ,id21476291,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,1,106.609161,10.742732,dat tho cu,"138 Đường Số 17B, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
4632,Cần Tiền Bán Gấp Lô 100m2 Mặt Tiền Đường Số 32 KDC Tên Lửa Có Sổ Hồng,5400000000,100 m2,"Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TPHCM",2022-07-04 16:43:27.852735,2022-07-15 17:44:51.202705,5 tỷ 400 triệu,id21599745,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,237,106.609161,10.742732,dat tho cu,
4577,Bán Lô đất 4x14 (56m2) Đường Xe Hơi 8m Cách Chợ 100m Gần AEON BÌNH TÂN,3050000000,56 m2,,2022-07-04 16:43:27.482188,2022-07-07 09:57:18.699793,3 tỷ 50 triệu,id21575467,Quận Bình Tân,Phường Bình Trị Đông B,56.0,16,153,237,,,dat tho cu,
5532,"Bán đất MT đường Số 13C, P. Bình Trị Đông B, 5 x 20m, giá 8.5 tỷ. khu",8500000000,100 m2,,2022-07-04 16:43:34.58196,2022-07-07 09:57:27.539985,8 tỷ 500 triệu,id21139429,Quận Bình Tân,Phường Bình Trị Đông B,100.0,16,153,123,,,dat tho cu,
